O_T_EE_12,O_T_EE_13
0.485956,-0.269622
0.485952,-0.269627
0.485953,-0.269624
0.485954,-0.269622
0.485953,-0.269626
0.485953,-0.269623
0.485954,-0.26962
0.485954,-0.269619
0.485953,-0.269619
0.485954,-0.269616
0.485953,-0.269617
0.485954,-0.269615
0.485954,-0.269614
0.485956,-0.269611
0.485954,-0.26961
0.485952,-0.26961
0.485954,-0.269609
0.485955,-0.269606
0.485954,-0.269605
0.485954,-0.269605
0.485957,-0.2696
0.485959,-0.2696
0.485957,-0.269598
0.485955,-0.269597
0.485957,-0.269593
0.485957,-0.269594
0.485959,-0.269591
0.485962,-0.269591
0.485962,-0.269586
0.485962,-0.269585
0.485961,-0.269587
0.485962,-0.269583
0.485964,-0.269581
0.485966,-0.26958
0.485967,-0.269576
0.485969,-0.269575
0.485972,-0.269572
0.485972,-0.269569
0.485972,-0.269568
0.485975,-0.269563
0.485976,-0.26956
0.485976,-0.26956
0.485977,-0.269557
0.485978,-0.269555
0.485981,-0.269553
0.48598,-0.269551
0.485983,-0.269548
0.485986,-0.269544
0.485987,-0.26954
0.485987,-0.269539
0.485989,-0.269534
0.485992,-0.269533
0.485993,-0.269529
0.485993,-0.269526
0.485996,-0.269524
0.486,-0.269521
0.485999,-0.269515
0.486002,-0.269513
0.486,-0.269511
0.486004,-0.269506
0.486004,-0.269505
0.486008,-0.2695
0.48601,-0.269497
0.486014,-0.269493
0.486014,-0.269488
0.486015,-0.269489
0.486018,-0.269483
0.48602,-0.26948
0.486024,-0.269472
0.486023,-0.269474
0.486026,-0.26947
0.486026,-0.269467
0.486032,-0.26946
0.486035,-0.269455
0.486035,-0.269453
0.486038,-0.269451
0.48604,-0.269443
0.486043,-0.269444
0.486049,-0.269437
0.486045,-0.269437
0.486049,-0.269435
0.486051,-0.269426
0.486052,-0.269425
0.486055,-0.269425
0.486057,-0.269418
0.48606,-0.269413
0.486062,-0.269413
0.486062,-0.269407
0.486065,-0.269405
0.486069,-0.2694
0.486071,-0.269397
0.486072,-0.269394
0.486076,-0.269388
0.486076,-0.269385
0.48608,-0.269383
0.486082,-0.269377
0.486084,-0.269376
0.486084,-0.269374
0.486088,-0.269367
0.48609,-0.269363
0.486092,-0.26936
0.486095,-0.269357
0.486094,-0.269353
0.486099,-0.269348
0.486101,-0.269342
0.486101,-0.269342
0.486103,-0.269337
0.486106,-0.269332
0.48611,-0.269326
0.486109,-0.269325
0.486112,-0.269321
0.486114,-0.269319
0.486118,-0.26931
0.486118,-0.269305
0.486124,-0.2693
0.486125,-0.269295
0.486128,-0.269293
0.486128,-0.269287
0.486129,-0.269284
0.486134,-0.269278
0.486135,-0.269277
0.48614,-0.269267
0.486141,-0.269265
0.486143,-0.269262
0.486143,-0.269257
0.486147,-0.269253
0.486151,-0.269247
0.486154,-0.26924
0.486156,-0.269236
0.486161,-0.269231
0.486163,-0.269223
0.486165,-0.269219
0.486164,-0.269221
0.48617,-0.26921
0.486172,-0.269206
0.486178,-0.269198
0.486177,-0.269195
0.486181,-0.26919
0.486185,-0.269182
0.486189,-0.269176
0.486192,-0.269172
0.486196,-0.269166
0.486195,-0.269164
0.486196,-0.269156
0.4862,-0.269153
0.486202,-0.269149
0.486207,-0.269142
0.486208,-0.26914
0.486215,-0.26913
0.486217,-0.269127
0.486217,-0.269123
0.486221,-0.269114
0.486223,-0.269109
0.486228,-0.269104
0.486229,-0.269097
0.486231,-0.269094
0.486236,-0.269086
0.486239,-0.269082
0.486243,-0.269075
0.486246,-0.269074
0.48625,-0.269067
0.486251,-0.269063
0.486256,-0.269056
0.486257,-0.269053
0.486258,-0.269046
0.48626,-0.269043
0.486266,-0.269035
0.48627,-0.26903
0.486274,-0.269023
0.486274,-0.269019
0.486278,-0.269012
0.48628,-0.269009
0.486284,-0.269002
0.486288,-0.268996
0.486291,-0.268992
0.486294,-0.268985
0.486295,-0.268983
0.486302,-0.268972
0.486305,-0.268967
0.486306,-0.268964
0.486306,-0.268959
0.486313,-0.268951
0.486315,-0.268949
0.486315,-0.268941
0.48632,-0.268935
0.486324,-0.268927
0.486325,-0.268928
0.486331,-0.268916
0.486331,-0.268915
0.486333,-0.268911
0.486335,-0.268905
0.486339,-0.268899
0.486343,-0.26889
0.486346,-0.268887
0.486349,-0.268879
0.486352,-0.268876
0.486353,-0.268873
0.486357,-0.268867
0.486359,-0.268865
0.486357,-0.268863
0.486364,-0.268853
0.486366,-0.268851
0.486368,-0.268847
0.486371,-0.268841
0.486375,-0.268833
0.486376,-0.268833
0.486381,-0.268825
0.486382,-0.268821
0.486384,-0.268817
0.486387,-0.268809
0.48639,-0.268807
0.486389,-0.268808
0.486392,-0.268802
0.486396,-0.268795
0.4864,-0.268789
0.486398,-0.268788
0.486403,-0.268784
0.486404,-0.268777
0.486407,-0.268773
0.48641,-0.268768
0.486414,-0.268761
0.486414,-0.268758
0.486416,-0.268757
0.486419,-0.268749
0.486421,-0.268744
0.48642,-0.268746
0.486425,-0.268738
0.486425,-0.268732
0.486429,-0.26873
0.486431,-0.268725
0.486433,-0.26872
0.486436,-0.268718
0.486437,-0.268714
0.48644,-0.268709
0.486442,-0.268705
0.486445,-0.268702
0.486449,-0.268693
0.486449,-0.268694
0.486453,-0.268685
0.486455,-0.268681
0.486455,-0.268683
0.486459,-0.268677
0.48646,-0.268675
0.486462,-0.268671
0.486468,-0.268664
0.48647,-0.26866
0.486472,-0.268655
0.486474,-0.26865
0.486475,-0.268651
0.486478,-0.268642
0.486477,-0.268641
0.486483,-0.268636
0.486482,-0.268638
0.486481,-0.268631
0.486488,-0.268625
0.48649,-0.268622
0.486493,-0.268616
0.486493,-0.268614
0.486497,-0.268608
0.486495,-0.268611
0.486503,-0.268601
0.486502,-0.268598
0.486503,-0.268596
0.486507,-0.268592
0.486506,-0.26859
0.486509,-0.268586
0.486511,-0.268583
0.486513,-0.268578
0.486515,-0.268576
0.486515,-0.268573
0.486519,-0.268568
0.486519,-0.268567
0.486523,-0.26856
0.486521,-0.268563
0.486524,-0.268556
0.486527,-0.268554
0.486533,-0.268545
0.486532,-0.268544
0.486533,-0.268543
0.486533,-0.26854
