O_T_EE_12,O_T_EE_13
0.479292,-0.419592
0.479293,-0.419594
0.47929,-0.419597
0.479292,-0.419594
0.479291,-0.419595
0.479291,-0.419593
0.479292,-0.419592
0.479289,-0.419592
0.47929,-0.41959
0.479289,-0.41959
0.479292,-0.419587
0.479291,-0.419586
0.47929,-0.419584
0.479287,-0.419587
0.479287,-0.419583
0.479285,-0.419583
0.479287,-0.41958
0.479284,-0.419581
0.479283,-0.41958
0.479283,-0.419578
0.479282,-0.419577
0.47928,-0.419576
0.479282,-0.419571
0.47928,-0.419572
0.47928,-0.419567
0.479281,-0.419566
0.479281,-0.419563
0.479278,-0.419563
0.479279,-0.419558
0.47928,-0.419555
0.479276,-0.419555
0.479275,-0.419555
0.479275,-0.419553
0.479277,-0.419547
0.479275,-0.419547
0.479272,-0.419544
0.479276,-0.419537
0.479274,-0.419535
0.479271,-0.419535
0.47927,-0.419529
0.479273,-0.419525
0.47927,-0.419524
0.47927,-0.419516
0.479268,-0.419518
0.479265,-0.419513
0.479267,-0.419509
0.479263,-0.419509
0.479261,-0.419503
0.479262,-0.419497
0.479261,-0.419491
0.479259,-0.419488
0.479258,-0.419485
0.479261,-0.419479
0.479254,-0.419478
0.47925,-0.419475
0.479252,-0.419469
0.47925,-0.419465
0.47925,-0.419462
0.479248,-0.419456
0.479248,-0.419451
0.479244,-0.419445
0.479243,-0.419442
0.479243,-0.419438
0.479242,-0.419432
0.479241,-0.419425
0.479239,-0.41942
0.479235,-0.419418
0.479237,-0.419411
0.479234,-0.419407
0.479231,-0.419403
0.479229,-0.419398
0.479231,-0.41939
0.479224,-0.419391
0.479224,-0.419382
0.479222,-0.419377
0.479222,-0.419372
0.47922,-0.419368
0.479219,-0.41936
0.479215,-0.419359
0.479215,-0.419352
0.479215,-0.419344
0.479211,-0.419339
0.479211,-0.419333
0.479207,-0.419329
0.479204,-0.419323
0.479205,-0.419316
0.479204,-0.419312
0.479199,-0.419306
0.479199,-0.419298
0.479195,-0.419295
0.479191,-0.41929
0.479195,-0.419283
0.479192,-0.419275
0.47919,-0.41927
0.479188,-0.419264
0.479187,-0.419255
0.479181,-0.419252
0.479179,-0.419249
0.479178,-0.419242
0.479178,-0.419234
0.479172,-0.419233
0.479173,-0.419225
0.479173,-0.419217
0.479166,-0.419214
0.47917,-0.419201
0.479166,-0.419197
0.479163,-0.419192
0.47916,-0.41919
0.479158,-0.419182
0.479157,-0.419176
0.479156,-0.419169
0.479155,-0.419161
0.479153,-0.419156
0.47915,-0.41915
0.479147,-0.419147
0.479146,-0.41914
0.479145,-0.419133
0.479146,-0.419124
0.479139,-0.419121
0.479144,-0.419113
0.479141,-0.419105
0.479136,-0.4191
0.479134,-0.419096
0.479134,-0.419088
0.479127,-0.419086
0.479128,-0.419076
0.479124,-0.419071
0.479123,-0.419064
0.479123,-0.419058
0.479121,-0.419052
0.479121,-0.419042
0.479119,-0.419038
0.479116,-0.419033
0.479113,-0.419029
0.479113,-0.419021
0.479108,-0.419018
0.47911,-0.41901
0.47911,-0.419004
0.479106,-0.418998
0.479103,-0.418992
0.479099,-0.41899
0.479104,-0.418979
0.479101,-0.418974
0.479098,-0.41897
0.479095,-0.418964
0.479097,-0.418955
0.479098,-0.418949
0.479094,-0.418942
0.479093,-0.418937
0.47909,-0.418934
0.479089,-0.418927
0.479088,-0.418921
0.479086,-0.418913
0.479085,-0.418911
0.479085,-0.418906
0.479082,-0.4189
0.479081,-0.418896
0.479083,-0.418885
0.47908,-0.418885
0.479081,-0.418879
0.479077,-0.418876
0.479079,-0.41887
0.479076,-0.418867
0.479077,-0.418861
0.479075,-0.418855
0.479074,-0.418852
0.479074,-0.418847
0.479071,-0.418843
0.479074,-0.418834
0.479073,-0.418833
0.47907,-0.418827
0.479071,-0.418823
0.479071,-0.418816
0.479069,-0.418813
0.479071,-0.418808
0.479069,-0.418804
0.479067,-0.418802
0.479066,-0.418798
0.479069,-0.418789
0.479068,-0.418785
0.479063,-0.418785
0.479068,-0.418777
0.479069,-0.418772
0.479064,-0.418771
0.479067,-0.418765
0.479066,-0.41876
0.479065,-0.418758
0.479068,-0.418752
0.479065,-0.418751
0.479065,-0.418745
0.479067,-0.418738
0.479065,-0.41874
0.479065,-0.418736
0.479068,-0.418733
0.479068,-0.418725
0.479066,-0.418727
0.479068,-0.418721
0.479068,-0.418721
0.47907,-0.418713
0.479073,-0.418707
0.479073,-0.418705
0.479071,-0.418706
0.479069,-0.418705
0.479072,-0.4187
0.479074,-0.418697
0.479077,-0.418692
0.479078,-0.41869
0.479075,-0.418689
0.479077,-0.418686
0.479077,-0.418683
0.47908,-0.418679
0.479082,-0.418675
0.47908,-0.418677
0.479081,-0.418675
0.479085,-0.41867
0.479088,-0.418669
0.479089,-0.418666
0.479087,-0.418666
0.479091,-0.418663
0.479091,-0.418661
0.479091,-0.41866
0.479093,-0.418659
0.479095,-0.418654
0.479094,-0.418656
0.479093,-0.418656
0.479098,-0.418652
0.479098,-0.418651
0.479098,-0.418651
0.479103,-0.418647
0.479101,-0.418649
0.479103,-0.418648
0.479108,-0.41864
0.479106,-0.418642
0.479112,-0.418639
0.479107,-0.418642
0.47911,-0.41864
0.47911,-0.418641
0.479115,-0.418634
0.479112,-0.418638
0.479118,-0.418629
0.479117,-0.418632
0.479117,-0.418632
0.479118,-0.418633
0.479118,-0.418632
0.479123,-0.41863
0.479121,-0.418629
0.479125,-0.418629
0.479128,-0.418624
0.479126,-0.418627
0.479129,-0.418628
0.479129,-0.418623
0.479128,-0.418627
0.479131,-0.418623
0.479129,-0.418625
0.479133,-0.418623
0.479135,-0.418624
0.479135,-0.41862
0.479136,-0.418619
0.479137,-0.418616
0.47914,-0.418615
0.479136,-0.41862
0.479141,-0.418616
0.479139,-0.418617
0.479141,-0.418614
0.479144,-0.418612
0.479145,-0.418611
0.479145,-0.418612
0.479147,-0.418608
0.479145,-0.41861
0.479144,-0.418611
0.479145,-0.418609
0.479151,-0.418603
0.479148,-0.418605
0.479147,-0.418604
0.47915,-0.418603
0.479147,-0.418604
0.47915,-0.418602
0.479147,-0.418605
0.479151,-0.418601
0.479151,-0.4186
0.479152,-0.4186
0.47915,-0.4186
0.47915,-0.4186
0.479152,-0.418599
0.479151,-0.418599
0.479152,-0.418596
0.479152,-0.418596
0.479153,-0.418595
0.479153,-0.418597
0.479154,-0.418593
0.479155,-0.418593
0.479153,-0.418594
0.479155,-0.418591
0.479155,-0.418591
0.479158,-0.418587
0.479154,-0.41859
0.479155,-0.418588
0.479153,-0.418593
0.479155,-0.41859
0.479154,-0.418591
0.479155,-0.418589
0.479156,-0.41859
0.479159,-0.418586
0.479154,-0.418589
0.479156,-0.418584
0.479155,-0.41859
0.479156,-0.418587
0.479157,-0.418587
0.479155,-0.418587
0.479156,-0.418589
0.479156,-0.418589
0.479156,-0.41859
0.479155,-0.418588
0.479159,-0.418587
0.47916,-0.418585
0.47916,-0.418586
0.479155,-0.41859
0.479158,-0.418586
0.479158,-0.418584
0.47916,-0.418585
0.47916,-0.418584
0.47916,-0.418585
0.479159,-0.418586
0.479159,-0.418584
0.479156,-0.418587
