O_T_EE_12,O_T_EE_13
0.479263,-0.419592
0.479263,-0.419594
0.479263,-0.419595
0.479264,-0.419593
0.479266,-0.419591
0.479262,-0.419594
0.479263,-0.419592
0.479264,-0.419587
0.479262,-0.419587
0.47926,-0.419589
0.47926,-0.419586
0.47926,-0.419587
0.479261,-0.419585
0.479261,-0.41958
0.479257,-0.419581
0.47926,-0.41958
0.479256,-0.41958
0.479257,-0.419577
0.479257,-0.419574
0.479254,-0.419573
0.479256,-0.419571
0.479257,-0.419569
0.479257,-0.419568
0.479252,-0.419566
0.479253,-0.419564
0.479252,-0.419563
0.479251,-0.41956
0.479254,-0.419555
0.479251,-0.419555
0.479252,-0.41955
0.479255,-0.419545
0.479253,-0.419542
0.479256,-0.419541
0.47925,-0.419541
0.479253,-0.419537
0.479254,-0.419531
0.479252,-0.419528
0.479253,-0.419523
0.479252,-0.419523
0.479251,-0.419518
0.479251,-0.419514
0.479251,-0.419511
0.479251,-0.419507
0.479249,-0.419504
0.47925,-0.419498
0.479249,-0.419495
0.479251,-0.41949
0.479246,-0.419486
0.479251,-0.419479
0.479245,-0.419478
0.479246,-0.419473
0.479248,-0.419466
0.479247,-0.419461
0.479245,-0.419461
0.479247,-0.419454
0.479249,-0.419447
0.479245,-0.419444
0.479248,-0.419438
0.479245,-0.419434
0.479244,-0.419428
0.479244,-0.419422
0.479245,-0.419418
0.479246,-0.419409
0.479241,-0.419411
0.479241,-0.419402
0.479241,-0.419394
0.479243,-0.41939
0.479242,-0.419385
0.479241,-0.419377
0.47924,-0.419373
0.479241,-0.419366
0.479241,-0.419362
0.479239,-0.419356
0.47924,-0.419348
0.479238,-0.419346
0.479234,-0.419342
0.479235,-0.419335
0.479236,-0.419329
0.479234,-0.419325
0.479236,-0.419316
0.479235,-0.419313
0.479236,-0.419306
0.479237,-0.4193
0.479232,-0.419298
0.479237,-0.419288
0.479235,-0.41928
0.479232,-0.419275
0.479232,-0.419269
0.479233,-0.419265
0.479234,-0.419259
0.479233,-0.419251
0.479233,-0.419246
0.479236,-0.419237
0.479233,-0.419233
0.479233,-0.419226
0.479236,-0.419218
0.479234,-0.419213
0.47923,-0.41921
0.479228,-0.419206
0.479232,-0.419196
0.479232,-0.419191
0.479232,-0.419185
0.479233,-0.419176
0.479232,-0.419169
0.479232,-0.419167
0.479232,-0.41916
0.479234,-0.419153
0.479231,-0.419147
0.479233,-0.419142
0.479234,-0.419134
0.479233,-0.419128
0.479233,-0.419122
0.479236,-0.419113
0.479233,-0.41911
0.479233,-0.419104
0.479236,-0.419097
0.479237,-0.41909
0.479236,-0.419086
0.479237,-0.419078
0.479236,-0.419074
0.479237,-0.419064
0.479235,-0.419062
0.479237,-0.419054
0.479241,-0.419045
0.479238,-0.419039
0.479239,-0.41903
0.479238,-0.419027
0.479238,-0.419022
0.479242,-0.419014
0.47924,-0.419008
0.479238,-0.419004
0.479242,-0.418996
0.47924,-0.418991
0.479243,-0.418984
0.479243,-0.418977
0.479242,-0.418971
0.479242,-0.418967
0.479242,-0.41896
0.479244,-0.418956
0.479244,-0.418946
0.479245,-0.418943
0.479243,-0.418936
0.479244,-0.418932
0.479249,-0.418923
0.479249,-0.418919
0.47925,-0.418912
0.479248,-0.418907
0.479249,-0.418904
0.479248,-0.418895
0.479251,-0.418891
0.479252,-0.418885
0.479254,-0.418877
0.479252,-0.418876
0.479253,-0.418872
0.479255,-0.418863
0.479255,-0.418858
0.479257,-0.418852
0.479261,-0.418848
0.479258,-0.418842
0.479264,-0.418831
0.479266,-0.418827
0.479264,-0.418825
0.479267,-0.41882
0.479266,-0.418813
0.47927,-0.418809
0.479273,-0.418802
0.479274,-0.418797
0.479277,-0.418789
0.479278,-0.418786
0.479278,-0.418782
0.479282,-0.418776
0.479284,-0.418771
0.479284,-0.418765
0.479288,-0.41876
0.479287,-0.418758
0.47929,-0.418753
0.479293,-0.418747
0.479299,-0.41874
0.479296,-0.418736
0.479302,-0.418731
0.479304,-0.418727
0.479303,-0.418725
0.479309,-0.418718
0.479308,-0.418713
0.479315,-0.418707
0.47932,-0.418702
0.47932,-0.418698
0.479325,-0.418692
0.479324,-0.41869
0.479329,-0.418688
0.479329,-0.418683
0.479334,-0.418679
0.479336,-0.418676
0.479342,-0.418669
0.479342,-0.418669
0.479347,-0.418662
0.479346,-0.418657
0.479352,-0.418653
0.479357,-0.418649
0.479358,-0.418644
0.479361,-0.41864
0.479364,-0.418637
0.479368,-0.418633
0.479373,-0.418628
0.479374,-0.418625
0.479378,-0.418624
0.479379,-0.418619
0.479384,-0.418615
0.479386,-0.418612
0.479391,-0.418607
0.479393,-0.418604
0.479397,-0.4186
0.479401,-0.418596
0.479401,-0.418595
0.479401,-0.418591
0.479405,-0.418589
0.479411,-0.418583
0.479412,-0.418583
0.479415,-0.418578
0.479418,-0.418576
0.479421,-0.41857
0.479421,-0.418571
0.479425,-0.41857
0.479427,-0.418565
0.47943,-0.418564
0.479432,-0.41856
0.479437,-0.418557
0.479438,-0.418555
0.479441,-0.418552
0.479445,-0.418549
0.479445,-0.418548
0.479446,-0.418545
0.479455,-0.418539
0.479453,-0.418538
0.479458,-0.418534
0.479457,-0.418536
