O_T_EE_13,O_T_EE_14
0.000115528,0.195031
0.0001143,0.195028
0.000112873,0.19503
0.000112472,0.195031
0.000114146,0.19503
0.000114225,0.195027
0.000114433,0.195024
0.000116265,0.195023
0.000114971,0.19502
0.000116062,0.195022
0.000114949,0.195022
0.000116389,0.195021
0.000114475,0.195023
0.000114944,0.19502
0.000114661,0.195019
0.000114577,0.195018
0.000117347,0.195019
0.000116931,0.195015
0.000114481,0.195016
0.000116721,0.195017
0.000119903,0.195013
0.000119536,0.195009
0.000119685,0.195011
0.00011808,0.195011
0.000120906,0.195008
0.000122023,0.195008
0.0001237,0.195004
0.00012339,0.195004
0.000124147,0.195003
0.000123156,0.195004
0.000121908,0.195004
0.000124395,0.195002
0.000124154,0.195003
0.000125134,0.195001
0.000126507,0.195
0.000126293,0.195002
0.000121908,0.195003
0.000125539,0.195
0.000126777,0.195
0.000124275,0.195
0.000125752,0.195
0.000128321,0.195
0.000127856,0.195
0.000129644,0.194998
0.000130663,0.195
0.000131041,0.195
0.000130708,0.195
0.000128289,0.195
0.000129887,0.194998
0.000131161,0.194998
0.000132323,0.194999
0.000132314,0.194999
0.000135396,0.194999
0.000134312,0.194999
0.000131601,0.194998
0.000135263,0.194997
0.000134359,0.194997
0.000132423,0.195
0.000131311,0.194998
0.000136906,0.195002
0.000136989,0.195
0.000134696,0.194999
0.000133845,0.194999
0.000135968,0.194998
0.000132735,0.195002
0.000135797,0.195002
0.000134442,0.195002
0.000136794,0.195003
0.000137355,0.195002
0.000136196,0.195004
0.000139382,0.195003
0.000136231,0.195001
0.000138728,0.195007
0.000137118,0.195005
0.000138784,0.195002
0.000141172,0.195005
0.000141595,0.195006
0.000140379,0.195006
0.000141881,0.195005
0.000138651,0.195009
0.000138827,0.195009
0.000141736,0.195008
0.000141701,0.195008
0.000142733,0.195008
0.000141803,0.195008
0.00014332,0.19501
0.00014336,0.195012
0.000144409,0.195008
0.0001447,0.19501
0.000142086,0.195006
0.000144547,0.195004
0.00014613,0.195009
0.000142342,0.195006
0.000143394,0.195007
0.000143405,0.195008
0.000145825,0.195006
0.000147264,0.195007
0.000145078,0.195006
0.000150535,0.195003
0.000147934,0.195005
0.000147929,0.195002
0.000146136,0.195004
0.000150531,0.195004
0.000150785,0.195001
0.000148164,0.195004
0.000146378,0.195001
0.000154951,0.195003
0.000153734,0.194998
0.000152293,0.194999
0.000156219,0.195001
0.000151207,0.194999
0.000153887,0.194996
0.00015026,0.194997
0.000152276,0.194999
0.000155099,0.194997
0.000151392,0.194996
0.00015556,0.194998
0.000154137,0.194998
0.000155391,0.194996
0.000153903,0.194994
0.000155594,0.194995
0.000152951,0.194992
0.000152973,0.194996
0.000155442,0.194999
0.000157186,0.194996
0.000156013,0.194995
0.000157192,0.194996
0.000155909,0.194995
0.000159818,0.194995
0.000154742,0.194994
0.000157424,0.194991
0.000159999,0.194994
0.00015938,0.194993
0.000161522,0.194996
0.000159008,0.194991
0.000157733,0.194993
0.000157657,0.194994
0.000161811,0.194993
0.0001589,0.194996
0.000160744,0.194996
0.000160169,0.194996
0.000159168,0.194994
0.000160623,0.194997
0.000162137,0.194996
0.000161629,0.194995
0.000161673,0.194997
0.000163416,0.194997
0.000162292,0.194997
0.000163644,0.194996
0.000164594,0.194996
0.000164995,0.194998
0.000163911,0.194999
0.000163508,0.194997
0.000165098,0.195
0.000162395,0.194998
0.000165177,0.194997
0.000166125,0.194999
0.000166629,0.194998
0.000169388,0.194999
0.000162535,0.195001
0.000165417,0.195
0.000166999,0.194999
0.00016505,0.194999
0.00016665,0.195001
0.000168974,0.195
0.000170776,0.194999
0.000165529,0.195003
0.000164123,0.194999
0.000164361,0.194999
0.000168088,0.195
0.000165569,0.195
0.000167215,0.194999
0.000167125,0.195002
0.00016716,0.195001
0.00016852,0.194998
0.000168558,0.194999
0.000169855,0.195001
0.000169847,0.195001
0.000169876,0.195001
0.00017093,0.194999
0.000170092,0.195
0.000169579,0.194998
0.000171328,0.194998
0.000168647,0.195001
0.000171396,0.194996
0.000173637,0.194997
0.000174118,0.194995
0.000168806,0.194999
0.000170307,0.194997
0.000167751,0.194997
0.000168717,0.194997
0.000169755,0.194995
0.000174264,0.194996
0.000171432,0.194995
0.000173014,0.194996
0.000174011,0.194998
0.000171736,0.194995
0.000170684,0.194995
0.000170014,0.194993
0.000171754,0.194995
0.000171778,0.194993
0.00017314,0.194995
0.000175734,0.194995
0.000173212,0.19499
0.000171857,0.194994
0.000174501,0.194994
0.000171788,0.194994
0.000172766,0.194996
0.000173243,0.194994
0.000176106,0.194995
0.000177516,0.194993
0.000173479,0.194993
0.000173269,0.194996
0.000169628,0.194993
0.000174368,0.194994
0.000174347,0.194995
0.000174079,0.194994
0.000174255,0.194993
0.00017355,0.194993
0.000174496,0.194998
0.000174773,0.194993
0.000176253,0.194995
0.000176262,0.194996
0.000179154,0.194994
0.000174948,0.194995
0.000177722,0.194996
0.000173719,0.194998
0.000173694,0.194996
0.000177374,0.194995
0.000176565,0.194995
0.000177694,0.194995
0.00017741,0.194997
0.000175307,0.194998
0.000176224,0.194998
0.000176658,0.194996
0.000180082,0.194998
0.000177766,0.194996
0.000176411,0.194997
0.000180281,0.194997
0.000177961,0.194998
0.00018204,0.194997
0.000182048,0.194997
0.000182336,0.194994
0.000179506,0.194998
0.000176663,0.195
0.000180843,0.194995
0.000179627,0.194997
0.000177741,0.194994
0.000180754,0.194997
0.00017807,0.194998
0.000179199,0.194996
0.000182381,0.194997
0.00018076,0.194997
0.000180629,0.194994
0.000182264,0.194995
0.000182694,0.194997
0.000180661,0.194995
0.000178225,0.194997
0.000184792,0.194996
0.000180045,0.194997
0.000181058,0.194994
0.000182215,0.194996
0.000183833,0.194997
0.00018384,0.194995
0.000185331,0.194998
0.000183859,0.194995
0.000185375,0.194994
0.000182625,0.194994
0.000182592,0.194994
0.00018123,0.194997
0.000183882,0.194994
0.000179715,0.194994
0.000182594,0.194996
0.000182594,0.194995
0.000183629,0.194996
0.000186769,0.194992
0.000185362,0.194997
0.000183924,0.194996
0.000181536,0.194994
0.000181735,0.194993
0.000179724,0.194994
0.00018402,0.194993
0.000185446,0.194993
0.000186755,0.194996
0.000184069,0.194993
0.000186695,0.194998
0.000185233,0.194996
0.000184192,0.194993
0.000187232,0.194992
0.00018558,0.194995
0.000186654,0.194996
0.000185606,0.194994
0.000187101,0.194994
0.000184334,0.194995
0.000188322,0.194994
0.00018586,0.194992
0.000187154,0.194996
0.000184435,0.194994
0.000184249,0.194994
0.000184401,0.194993
0.000189661,0.194991
0.000187019,0.194994
0.000187109,0.194996
0.000185702,0.194993
0.000185408,0.194995
0.000184726,0.194993
0.000185558,0.194994
0.000184635,0.194994
0.000186933,0.194994
0.000184351,0.194994
0.000188658,0.194994
0.000188542,0.194997
0.000188559,0.194996
0.000187161,0.194995
0.000185871,0.194995
0.000187328,0.194995
0.000187367,0.194997
0.00018737,0.194995
0.000188557,0.194995
0.000185922,0.194995
0.000185933,0.194996
0.000187368,0.194998
0.000187369,0.194993
0.000189931,0.194996
0.000188463,0.194996
0.000184463,0.194994
0.00018733,0.194994
0.000185886,0.194999
0.000185836,0.194993
0.000187029,0.194995
0.000186161,0.194994
0.00018702,0.194994
0.000188789,0.194995
0.000187516,0.194995
0.000187557,0.194995
0.000187467,0.194991
0.000184798,0.194993
0.000184789,0.194994
0.000187395,0.194993
0.000190197,0.194994
0.000189989,0.194994
0.000191748,0.194992
0.000187545,0.194992
0.000190248,0.194994
0.000191271,0.194992
0.00018672,0.194994
0.000192602,0.194995
0.000187028,0.194992
0.000191565,0.194991
0.000190298,0.194993
0.000193026,0.194991
0.000186239,0.194993
0.000190462,0.194992
0.000187803,0.19499
0.00018902,0.194993
0.000187994,0.194991
0.000191404,0.194992
0.000191546,0.194994
0.000190323,0.194992
0.000190443,0.194992
0.000187766,0.194995
0.000190454,0.194991
0.000190497,0.194995
0.000190457,0.194993
0.000191475,0.194993
0.000190456,0.194993
0.000192064,0.194994
0.00019331,0.194991
0.000190985,0.194994
0.000191902,0.19499
0.000191772,0.194993
0.000191779,0.194992
0.000192802,0.194992
0.000190501,0.194994
0.000191968,0.194993
0.000194601,0.194994
0.000189241,0.194994
0.000189342,0.194994
0.000190549,0.194993
0.000193425,0.194994
0.000190644,0.194993
0.000193363,0.194993
0.000191965,0.194994
0.000193317,0.194993
0.000193316,0.194991
0.00019055,0.194993
0.000193363,0.194993
0.000188298,0.194992
0.000188784,0.194997
0.000190689,0.194993
0.000191897,0.194995
0.000190622,0.194993
0.000190649,0.194992
0.00019047,0.194992
0.000191017,0.194991
0.000196124,0.194992
0.000192038,0.194995
0.000190625,0.194992
0.000193133,0.194995
0.000193454,0.194994
0.000194845,0.194991
0.000189729,0.19499
0.000191819,0.194992
0.000192094,0.19499
0.000189671,0.194996
0.000190435,0.194994
0.000197576,0.194994
0.000192162,0.194993
0.000193647,0.194988
0.000192298,0.194994
0.000193164,0.194995
0.000192399,0.194992
0.000193127,0.194994
0.000192418,0.194992
0.000190595,0.194993
0.000194795,0.194991
0.000194921,0.194992
0.000192251,0.194993
0.000193564,0.194991
0.000189647,0.194993
0.000194596,0.194994
0.000193445,0.194994
0.000192141,0.194991
0.000194686,0.194993
0.000195148,0.194992
0.000190937,0.194992
0.000191135,0.194991
0.000194376,0.194994
0.000195193,0.19499
0.000192216,0.194992
0.000196062,0.194994
0.000196355,0.194993
0.000197737,0.194991
0.000195185,0.194992
0.000197788,0.194993
0.000193835,0.194991
0.000198017,0.194992
0.000193836,0.194991
0.000193838,0.194994
0.000192613,0.194992
0.000196621,0.194993
0.000192359,0.194992
0.000195141,0.194992
0.000195267,0.194992
0.000194004,0.194993
0.000196263,0.194993
0.000195042,0.194995
0.000195036,0.194994
0.000196545,0.194992
0.000197786,0.194995
0.000196505,0.194993
0.000195173,0.194994
0.00019387,0.194995
0.000195234,0.194992
0.000195173,0.19499
0.000195109,0.194995
0.000196524,0.194994
0.000194986,0.194996
0.000192811,0.194991
0.000196361,0.194992
0.000196965,0.194992
0.000197691,0.19499
0.000196673,0.194991
0.000195395,0.19499
0.000199353,0.194991
0.000194245,0.194992
0.000193632,0.194991
0.000195664,0.194991
0.000196364,0.194995
0.000193855,0.194993
0.000196791,0.194991
0.000198064,0.194993
0.000195435,0.194992
0.000199461,0.194992
0.000192652,0.194994
0.000195439,0.194992
0.000199576,0.194991
0.000200744,0.194991
0.00019819,0.19499
0.000195403,0.194994
0.000196836,0.194992
0.000196891,0.194993
0.000198137,0.194993
0.000194378,0.194993
0.000193813,0.194991
0.000196518,0.194992
0.000198065,0.194993
0.000196719,0.194991
0.000197837,0.194994
0.000199494,0.194993
0.000198631,0.19499
0.000195209,0.194992
0.000196897,0.194992
0.000199654,0.19499
0.000198458,0.194993
0.000199804,0.194991
0.000199625,0.194992
0.000197103,0.19499
0.000195452,0.19499
0.000195784,0.19499
0.000199348,0.194992
0.000197168,0.194992
0.00019663,0.194991
0.000198384,0.194991
0.000197791,0.194992
0.000198064,0.194989
0.000198341,0.19499
0.000198292,0.194991
0.000199726,0.194992
0.000202475,0.194991
0.000198439,0.194994
0.000197076,0.194991
0.00019844,0.194991
0.000197122,0.19499
0.000194034,0.194993
0.000201167,0.194989
0.000197289,0.194991
0.000203151,0.194992
0.000199619,0.194991
0.000198524,0.194988
0.000198606,0.194991
0.000199928,0.194994
0.000199975,0.19499
0.000201399,0.194991
0.000201376,0.194992
0.000202724,0.194993
0.00020121,0.194992
0.000201366,0.19499
0.000201285,0.194993
0.000201714,0.194992
0.000202131,0.194996
0.000197074,0.194991
0.000202515,0.194992
0.000201329,0.194994
0.000201181,0.194988
0.000202563,0.194989
0.000201385,0.194992
0.000198643,0.194991
0.000200075,0.19499
0.000200015,0.194988
0.000200108,0.19499
0.000200006,0.194989
0.000199917,0.194991
0.000199909,0.194991
0.00019849,0.194992
0.000198542,0.194992
0.000201316,0.194993
0.000199958,0.194993
0.000198147,0.194991
0.000201348,0.194992
0.000201669,0.194993
0.000201351,0.194992
0.000201721,0.194991
0.000199215,0.194992
0.000198744,0.194991
0.000198931,0.194989
0.000200651,0.194992
0.000198683,0.194992
0.000205732,0.19499
0.00020158,0.194992
0.000201409,0.19499
0.000204131,0.19499
0.000201531,0.194993
0.000200115,0.194991
0.000200129,0.19499
0.000200097,0.194992
0.000202796,0.194991
0.000199039,0.194989
0.000198504,0.19499
0.000199934,0.19499
0.000198802,0.19499
0.00020015,0.19499
0.000201298,0.194991
0.000204052,0.194991
0.000202828,0.194991
0.000202828,0.194989
0.000202766,0.19499
0.000202847,0.194989
0.000200162,0.194991
0.000198619,0.194992
0.000198872,0.194991
0.000204374,0.19499
0.000199839,0.194993
0.000202627,0.194989
0.000203961,0.194993
0.000202939,0.194992
0.000203268,0.194992
0.00020411,0.194991
0.000204275,0.19499
0.000200622,0.194989
0.000201395,0.194992
0.000201781,0.194992
0.00020183,0.194989
0.000204295,0.19499
0.000205149,0.19499
0.00020148,0.194991
0.000201965,0.194991
0.000201673,0.194993
0.000202612,0.19499
0.000203253,0.194992
0.000202658,0.194989
0.000201646,0.194988
0.000199165,0.194989
0.000202723,0.19499
0.00020436,0.194993
0.000203055,0.194988
