O_T_EE_12,O_T_EE_13
0.48598,-0.269627
0.485982,-0.269625
0.48598,-0.26963
0.48598,-0.269627
0.485978,-0.269633
0.485978,-0.269632
0.485979,-0.269628
0.48598,-0.269625
0.485979,-0.269625
0.485981,-0.269624
0.485979,-0.269624
0.485979,-0.269622
0.485983,-0.26962
0.48598,-0.269621
0.485983,-0.269619
0.485979,-0.269618
0.48598,-0.269615
0.485979,-0.269618
0.485981,-0.26961
0.485983,-0.26961
0.485981,-0.269611
0.485984,-0.269606
0.485984,-0.269604
0.485981,-0.269607
0.485986,-0.269604
0.485983,-0.269601
0.485984,-0.269598
0.485991,-0.269591
0.485992,-0.269589
0.485989,-0.269592
0.48599,-0.269591
0.485993,-0.269585
0.485994,-0.269584
0.485993,-0.269582
0.485994,-0.269581
0.485996,-0.269577
0.486,-0.269572
0.486,-0.269571
0.486001,-0.269572
0.486003,-0.269567
0.486005,-0.269566
0.486006,-0.269563
0.486009,-0.269558
0.486009,-0.269555
0.486012,-0.269553
0.486014,-0.269548
0.486017,-0.269547
0.486018,-0.269543
0.48602,-0.269539
0.486021,-0.269536
0.486024,-0.269531
0.486025,-0.26953
0.486028,-0.269529
0.486027,-0.269523
0.486031,-0.269519
0.486034,-0.269513
0.486037,-0.269509
0.486037,-0.269507
0.48604,-0.269505
0.486042,-0.269499
0.486047,-0.269492
0.486048,-0.269487
0.486051,-0.269483
0.486052,-0.269478
0.486055,-0.269475
0.486057,-0.269469
0.486057,-0.269468
0.486061,-0.269463
0.486067,-0.269455
0.486068,-0.269452
0.486071,-0.269446
0.486073,-0.269443
0.486075,-0.269437
0.486081,-0.269429
0.486082,-0.269427
0.486087,-0.269421
0.486089,-0.269417
0.486091,-0.269413
0.486094,-0.269408
0.486099,-0.269399
0.486102,-0.269395
0.486105,-0.269392
0.486109,-0.269387
0.486114,-0.269379
0.486112,-0.269377
0.486118,-0.269369
0.48612,-0.269367
0.486122,-0.269359
0.486129,-0.269354
0.486126,-0.269353
0.486131,-0.269348
0.486137,-0.269338
0.486136,-0.269337
0.48614,-0.26933
0.486143,-0.269324
0.486145,-0.26932
0.486152,-0.269313
0.486155,-0.269305
0.486156,-0.269302
0.486156,-0.269299
0.486162,-0.269292
0.486165,-0.269285
0.486165,-0.269282
0.48617,-0.269277
0.486172,-0.269269
