O_T_EE_12,O_T_EE_13
0.485956,-0.269628
0.485956,-0.269631
0.485953,-0.26963
0.485957,-0.269628
0.485956,-0.269628
0.485957,-0.269626
0.485956,-0.269626
0.485953,-0.269628
0.485957,-0.269619
0.485955,-0.269623
0.485956,-0.269621
0.485958,-0.269621
0.48596,-0.269617
0.485958,-0.269618
0.485959,-0.269615
0.485957,-0.269615
0.485957,-0.269614
0.485956,-0.269614
0.485956,-0.269614
0.48596,-0.269609
0.485959,-0.269609
0.485961,-0.269605
0.485959,-0.269604
0.485959,-0.269605
0.485962,-0.269601
0.485963,-0.269599
0.485961,-0.2696
0.485963,-0.269597
0.485964,-0.269596
0.485967,-0.269589
0.485965,-0.269592
0.485964,-0.269591
0.48597,-0.269586
0.485968,-0.269587
0.485969,-0.269583
0.485973,-0.269581
0.485972,-0.269579
0.485975,-0.269577
0.485971,-0.269581
0.485974,-0.269572
0.485974,-0.269573
0.485979,-0.269569
0.485977,-0.269568
0.48598,-0.269564
0.48598,-0.269563
0.48598,-0.26956
0.485984,-0.269558
0.485985,-0.269551
0.485985,-0.269551
0.48599,-0.269547
0.48599,-0.269547
0.485993,-0.269541
0.485993,-0.269537
0.485993,-0.269537
0.485996,-0.269535
0.485999,-0.269528
0.486,-0.269527
0.486002,-0.269523
0.486004,-0.26952
0.486007,-0.269518
0.486006,-0.269515
0.48601,-0.269509
0.486011,-0.269505
0.486015,-0.269501
0.486015,-0.269502
0.486017,-0.269494
0.486021,-0.269491
0.486022,-0.269491
0.486023,-0.269482
0.486027,-0.26948
0.48603,-0.269476
0.48603,-0.269476
0.486035,-0.269467
0.486037,-0.269465
0.486039,-0.269461
0.486039,-0.269461
0.486043,-0.269453
0.486044,-0.269452
0.486046,-0.269446
0.486051,-0.269443
0.486054,-0.269438
0.486055,-0.269435
0.486054,-0.269433
0.48606,-0.269428
0.486059,-0.269424
0.486065,-0.269418
0.486065,-0.269417
0.486071,-0.269411
0.486073,-0.269407
0.486075,-0.269407
0.48608,-0.269394
0.486081,-0.269397
0.486082,-0.269387
0.486084,-0.269388
0.486084,-0.269384
0.486088,-0.269381
0.486089,-0.269375
0.486095,-0.269366
0.486095,-0.269363
0.4861,-0.269356
0.486103,-0.269355
0.486103,-0.269348
0.486107,-0.269344
0.48611,-0.26934
0.48611,-0.269337
0.486113,-0.26933
0.486117,-0.269324
0.48612,-0.26932
0.486124,-0.269312
0.486125,-0.26931
0.486128,-0.269301
0.48613,-0.269298
0.486132,-0.269293
0.486137,-0.269286
0.486136,-0.269286
0.48614,-0.269277
